題號,題目,選項A,選項B,選項C,選項D,Answer
58,(113-3) IPCC「2022 氣候變遷：影響、調適與脆弱性」報告中，針對沿海社會生態系統的風險提出調適選項， 下列何者並非其選項？,改善排水,海堤和海岸養護,鼓勵居民從沿海地區撤離,鼓勵居民節能減碳,4
59,(113-3) 民眾想要查詢臺北市淹水潛勢，應該到哪一個單位網站查詢？,農委會,臺灣氣候變遷推估資訊與調適知識平台,世界資源研究所,國家災害防救科技中心,4
60,(113-3) 聯合國政府間氣候變遷專門委員會(IPCC)對未來全球氣候長期推估中，採用的溫室氣體排放軌跡情境 包含哪些溫室氣體？ 甲.二氧化碳；乙.臭氧；丙.二氧化硫；丁.甲烷,甲、乙、丙,甲、乙、丁,甲、丁,甲、丙、丁,4
61,(113-3) 以下何種 ESG 投資方法是藉由股東權力來影響企業行為，例如委由循 ESG 指導原則的股務代理機構 行使投票權？,永續相關主題投資,影響力與社區投資,企業參與及股東行動,整合 ESG 因子,3
62,(113-3) 有關國內公司治理評鑑的敘述，何者正確？,現行公司治理評鑑為使投資大眾能了解受評公司的整體表現，目前未分產業公布排名，僅以整體受 評公司的方式公布,現行公司治理評鑑為進行差異化管理，公布所有受評上市（櫃）公司七級距名單,公司治理評鑑每兩年辦理一次,現行公司治理評鑑只包括公司治理有關的指標,2
63,(113-3) 以下何者非國內公司治理評鑑的推動目的？,樹立企業學習的榜樣，發揮典範作用,引導企業建立良好公司治理制度與文化,透過弱化董事會以維護其他利害關係人的權益,讓投資者能夠更全面地評估和選擇投資對象,3
64,(113-3) 「2050 淨零排放路徑」中將「綠色金融」列入淨零排放路徑的十二項關鍵戰略之一，提出透過綠色融 資與增加投資，進而引導臺灣產業綠色轉型，並提出此四大轉型議題，包括以下哪些轉型？ 甲.能源轉型；乙.產業轉型；丙.生活轉型；丁.消費轉型；戊.社會轉型；己.農業轉型,甲、乙、丙、丁,甲、乙、丙、己,甲、乙、丙、戊,甲、乙、丁、己,3
65,(113-3) 某保險公司於保單中表明，若「單日累積降水量達 201.（113-3）0 毫米以上」即給予被保險人理賠。請問該保 單可能為哪一種保險？,節能保險,參數型天氣保險,能源效率保險,氣候保險,2
66,(113-3) 下列何者為永續連結貸款的條件？,貸款方必須屬於綠色產業,貸款方須屬於綠色產業，且不可有違反 ESG 相關法規之前例,貸款方可以是一般產業，但款項必須用在促進永續的用途,貸款方可以是一般產業，但需要設定永續關鍵績效指標與目標,4
67,(113-3) 目前關於綠色保險之描述何者正確？,只有著重於環境污染的責任險才算是綠色保險,具有綠色性質或元素之保險商品皆可稱為綠色保險,發行人將所募集的資金全數投入綠能發展中，即屬於綠色保險,綠色保險投入資金以協助金融機構將其運用於汙染防制等專案,2
68,(113-3) 以下何種 ESG 投資方法是選取相對於同業在 ESG 表現上較為積極的公司或項目作為投資標的，為評 斷公司 ESG 表現的好壞，如以某個具公信力的永續指數來訂定量化標準？,負向表列∕排他性篩選,產業別最佳∕正向選股,企業參與及股東行動,整合 ESG 因子,2
69,(113-3) 以下何者為歐盟綠色債券標準之內容？ 甲.募得款項用途需與永續性分類規則具備一致性；乙.由發行 人擬定的綠色債券框架的內容；丙.資金分配與影響報告；丁.要求由合規的獨立第三方進行外部驗證,僅甲、乙,僅甲、乙、丙,僅甲、乙、丁,甲、乙、丙、丁皆是,4
70,(113-3) 永續發展債券(GSSS)不包含以下何者主題？,綠色債券(Green),社會債券(Social),公司治理(Governance),可持續發展(Sustainability),3
71,(113-3) 下列何者是強制性的國際倡議？ 甲.責任投資原則；乙.永續保險原則；丙.責任銀行原則；丁.赤道原則,僅甲、丙,僅甲、丁,僅甲、乙、丁,甲、乙、丙、丁皆非,4
72,(113-3) 甲保險公司為再生能源發電業者設計了一項保險商品，主要承保再生能源業者於建造及營運過程中所 面臨的風險。請問以上敘述是指哪一種綠色保險？,能源效率保險,節能保險,再生能源產業保險,以上皆非,3
73,(113-3) 有關國內公司治理評鑑的功能，何者正確？,公司治理評鑑結果之應用，可用來做為編製公司治理指數之依據,可以進行差異化管理，針對評鑑表現較不理想之公司，酌情增加相關監理措施，以強化公司治理之落實,公司治理評鑑結果可做為投資人評估公司 ESG 表現的參考,以上皆正確,4
74,(113-3) 赤道原則按照潛在的環境社會風險和影響程度將專案融資案件分類成 A、 B、C 三個等級，以下有關 分類等級 A 類的說明，哪項是正確的？,A 級係指無風險案件，即經評估後無不利風險及或影響,A 級係指中風險案件，即經評估後顯示專案對環境和社會可能造成不利的程度有限，影響侷限於特 定地點，且可藉減緩措施降低或免除衝擊,A 級係指低風險案件，即經評估後顯示專案對社會和環境影響輕微,A 級係指高風險案件，即經評估後顯示專案對環境和社會有潛在重大不利及或涉及多樣的、不可逆 的或前所未有的影響,4
75,(113-3) 關於發行綠色債券，下列敘述何者正確？,所募集之資金不限其用途,所募集之資金用於綠色投資計畫之放款須達 50%以上,所募集之資金須全部用於綠色投資計畫之放款,綠色投資計畫必須可以降低碳排放量,3
76,(113-3) 有關永續金融商品之敘述，下列何者正確？,債券、基金、ETF 等金融商品皆可於投資流程中納入 ESG 因素,由於永續投資領域尚處於發展階段，投資方法論及具體影響皆未明確，故目前僅有機構投資人可購 買永續金融商品,投資流程中納入永續概念可降低風險，然而衍生性商品風險相對較高，兩者概念相違背，故目前衍 生性商品尚無法納入 ESG 因素,永續債券可分為綠色、社會、可持續發展及可持續發展連結債券，臺灣發行規模最大的類型為可持 續發展債券,1
77,(113-3) 下列何者不是永續保險原則(PSI)的主要項目？,將 ESG 議題納入融資分析中,將與保險業相關 ESG 議題融入公司決策,與各國政府合作，共同推動 ESG 相關行動,揭露永續保險原則實行狀況,1
78,(113-3) 若銀行 A 欲正式加入 PRB，應進行的流程包括下列哪些？ 甲.銀行總經理(CEO)簽署 PRB 並向 UNEP FI  遞交會員資格申請；乙.應通過公開徵求意見之規範；丙.由銀行發布載有 CEO 聲明的新聞稿宣佈其正式加 入 PRB；丁.完成簽署後，應進行影響分析、目標制定與實施及定期揭露,僅甲、乙、丙,僅甲、乙、丁,僅甲、丙、丁,甲、乙、丙、丁皆是,3
79,(113-3) 關於責任銀行原則(PRB)的六大框架，何者說明有誤？,一致性：銀行應確保策略與聯合國永續發展目標 SDGs、《巴黎協定》一致並有所貢獻,利害關係人：銀行應主動、定期與利害關係人進行接觸、協商、互動、合作，從而實現社會目標,治理與文化：銀行應直接透過總經理呼籲負責任的銀行文化，並定期對員工進行測驗，以履行其對 原則的承諾,公開揭露及當責：銀行應定期評估原則的履行情況，公開揭露正面和負面影響以及對社會目標的貢 獻，並對相關影響負責,3
80,(113-3) 下列有關於永續保險原則(PSI)之敘述何者錯誤？,永續保險原則為第一個針對保險業的框架,由聯合國環境規劃署金融倡議機構啟動,必須將巴黎協定整合至業務發展中,提供保險公司及其利害關係人具體的永續作為,3
1,(113-4) 企業永續報告指令(CSRD)分四個階段生效，不同類別的公司有其遵守報告要求的時間；在歐盟上市的「中小企業」 及小型而不複雜的信貸機構與專屬的保險公司，自何時起適用？,2024 年 1 月 1 日,2024 年 12 月 31 日,2025 年 1 月 1 日,2026 年 1 月 1 日,4
2,(113-4) ESG 涵蓋內容不包含下列何者？,社會責任,環境保護,公司治理,政府保護,4
3,(113-4) 關於「利害關係人理論」之敘述，下列何者較不適當？,將利害關係人受影響程度放置在營運模式,追求極大化股東利潤為終極目標,確保企業價值能與社會價值相吻合,強調企業經營必須為所有人創造永續且長期共同價值,2
4,(113-4) 我國推動綠色金融行動方案 3.（113-4）0，在資料面向，不包含下列哪一項？,建置企業 ESG 資料平台,統計因應氣候變遷之承保情形及永續保險商品數據,辦理永續領域投融資,研議優化氣候變遷風險相關資料庫,3
5,(113-4) 2019 年 12 月時，歐盟委員會提出下列何項政策，以宣示歐洲將於 2050 年實現氣候中和，且將此納入具有約束力 的《歐洲氣候法》(European Climate Law)中？,歐盟永續分類標準(EU Taxonomy),歐洲綠色政綱(European Green Deal),碳邊境調整機制(CBAM),企業永續報告指令(CSRD),2
6,(113-4) 下列哪一個組織主要負責研究與評估由人類活動所造成的氣候變遷現象與問題，並提供相關的科學評估報告 (Assessment Report)？,世界銀行(World Bank),國際再生能源總署(IRENA),政府間氣候變遷專門委員會(IPCC),國際能源總署(IEA),3
7,(113-4) 有關「歐盟永續分類標準(EU Taxonomy)」，此分類法將評估主體從「企業」整體轉向下列何者，並賦予活動具體 的永續定義？,國家,消費者,經濟活動,生產者,3
8,(113-4) 《氣候變遷綱要公約》(UNFCCC) 附件一締約國名單係指下列哪些國家？,經濟合作與發展組織(OECD)成員,已工業化和正在朝市場經濟過渡的國家,聯合國成員國,貧窮落後之國家,2
9,(113-4) 有關碳邊境調整機制(CBAM)的重要實施時程，自何時起過渡期結束，開始正式實施付費制的 CBAM？,2023 年 10 月,2024 年 1 月,2026 年 1 月,2026 年 12 月,3
10,(113-4) 永續發展目標指南的五大流程考慮旨在確保什麼？,提高員工的工作效率,實現 SDGs 的最佳效果，促進綜合性、整體性和可持續性,縮短企業的獲利時間,組織遵守法律法規,2
11,(113-4) 氣候變遷是地球和人類的重大課題，亦於下列哪個協定中，揭示為全世界共通的長期目標？,「柏林授權」(Berlin Mandate),《日內瓦部長宣言》(The Geneva Ministerial Declaration),「巴黎協定」(Paris Agreement),京都議定書(Kyoto Protocol),3
12,(113-4) 將因天然災害、公司治理不當或其他永續議題而對企業產生的負面風險，納入投資決策過程的政策資訊；這是屬於 下列哪方面的資訊揭露？,永續性風險政策,產品的獲利性揭露,不利的永續性影響,產品級別揭露,1
13,(113-4) 我國推動上市櫃公司永續發展行動方案，推動薪酬合理化，鼓勵高階薪酬與什麼做連結？,鼓勵高階薪酬與工作績效連結,鼓勵高階薪酬與 ESG 績效連結,鼓勵高階薪酬與減碳績效連結,鼓勵高階薪酬與業務推廣績效連結,2
14,(113-4) 有關企業永續報告指令(CSRD)的適用範圍，下列敘述何者錯誤？,所有在歐盟的大型公司,所有在歐盟指數(EU index)上發行證券的上市公司,所有在歐盟的微型企業,在歐洲有重大業務的非歐盟公司,3
15,(113-4) 有些企業因成本考量，不試圖從營運流程中減少碳排，而是將碳排放量從 A 國移到 B 國，或是從不積極從事減碳 的地區進口替代品，如此會對全球的碳排放量(carbon emission)產生何種影響？,會大幅減少全球的碳排放量,對全球的碳排放量完全沒有影響,不會減少全球的碳排放量,對全球在 2050 年達成淨零碳排的目標完全沒有影響,3
16,(113-4) 我國推動綠色金融行動方案 3.（113-4）0 之中五大推動面向，不包含下列何者？,佈局,生態系,轉型,資金,3
17,(113-4) 聯合國永續發展目標 SDGs 目標 12：落實永續消費及生產模式，下列哪一個不屬於目標重點內容？,促進綠色產品與技術之研發及應用,針對永續消費及生產，強化相關資訊提供與人才培育,推廣永續消費,推動生態旅遊,4
18,(113-4) 「巴黎協定」讓各締約方依狀況及能力，提出各國的國家自主貢獻(NDCs)的溫室氣體減量目標以及計畫，並以每幾 年為一週期提交 NDCs，以落實全球氣溫升高幅度介於 1.（113-4）5℃之目標？,1 年,3 年,5 年,7 年,3
19,(113-4) 受《企業永續報告指令》(CSRD)規範的企業將依據歐盟轄屬機構「歐洲財務報導諮詢小組」(EFRAG)於 2022 年 4 月發布的哪一項規範予以揭露？,監管技術標準(RTS),歐盟永續分類標準(EU Taxonomy),歐洲永續發展報告準則(ESRS)草案,發展一套完整的歐盟永續報導準則之路徑圖,3
20,(113-4) 聯合國政府間氣候變遷專門委員會(IPCC)係由哪兩個組織共同成立？,世界銀行(World Bank)及國際能源總署(IEA),聯合國環境規劃署(UNEP)和世界氣象組織(WMO),國際貨幣基金會(IMF)及世界銀行(World Bank),聯合國環境規劃署(UNEP)及世界銀行(World Bank),2
21,(113-4) 在永續金融揭露規範(SFDR)下，下列有關基金須揭露的內容，何者正確？,無須在公開說明書載明「是否」為 ESG 基金,無論是否為 ESG 基金，都必須接受歐盟的檢驗,須揭露所投資企業碳足跡、溫室氣體排放等指標,不須揭露所投資企業廢棄物處理、性別等指標,3
22,(113-4) 根據我國推動上市櫃公司永續發展路徑圖，資本額 50 至 100 億元的上市櫃公司，須完成事項不包含下列何者？,2025 年個體公司完成盤查,2026 年合併報表子公司完成盤查,2027 年個體公司完成查證,2028 年個體公司完成盤查,4
23,(113-4) 臺灣 2050 淨零排放路徑其中生活轉型的內容，不包含下列哪一項？,提高轉型社會之韌性,推動新舊建物為淨零循環建築,培養零浪費低碳飲食習慣,「使用」取代「擁有」的生活方式,1
24,(113-4) 聯合國永續發展目標 SDGs，其中之一旨在強化永續發展執行方法、重振永續發展全球夥伴關係，下列哪一個不屬 於此目標？,促進開發中國家之間的合作,提高對開發中國家的資金與技術援助,提供合宜、可負擔的住房,加強科技創新與數位應用,3
25,(113-4) IFRS S2 氣候相關揭露要求(Climate-related Disclosures)，除依 TCFD 一般揭露的要求外，須整體考量價值鏈中氣 候相關的風險與機會，並揭露下列資訊，何者敘述錯誤？,內部碳定價之機制與流程,高階管理人員的性別比例與薪酬的平等,因應氣候相關風險和機會而產生之資本支出及投／融資金額,受氣候相關轉型／實體風險及機會影響之資產或業務金額及比例,2
26,(113-4) 下列何者不是「保險業氣候相關風險財務揭露指引」要求揭露項目？,氣候相關風險與機會之治理機制,ESG 投資與風險管理之治理機制,氣候相關風險與機會之策略,氣候相關風險之風險管理機制,2
27,(113-4) 下列何者為「證券期貨業永續發展轉型執行策略」之推動目標？ 甲、完善永續生態體系 乙、強化證券期貨業 自律機制與整合資源 丙、保障投資人或交易人權益及建構公平友善服務,僅甲、乙,僅乙、丙,僅甲、丙,甲、乙、丙,4
28,(113-4) 「永續報告書作業辦法」規範企業未納入盤查計算之營運據點或子公司占總排放量之比重上限為何？,不得高於 10%,不得高於 5%,不得高於 3%,不得高於 1%,2
29,(113-4) 依確信準則 3000 號執行確信工作之執業人員，在確信工作執行中發現關鍵績效指標之適用基準之部分或全部不妥 適，或標的之部分或全部不適當，須考量下列哪一個做法？,執業人員可直接出具保留結論之確信報告,執業人員可直接出具無法表示結論之確信報告,如法令允許終止委任，則須考量終止委任此確信案件,執業人員僅須視情況出具保留結論、否定結論或無法表示結論之確信報告,3
30,(113-4) G20 財政部長和中央銀行總裁懇請金融穩定委員會(FSB)，檢視金融部門該如何應對氣候相關議題。FSB 在審查過 程中發現滿足充分資訊的需求將帶來諸多好處，下列敘述何者錯誤？,能夠改善投資人的決策品質，但仍無法協助企業穩定的邁向低碳經濟轉型,良好的資訊能支持投資、貸款和保險承保決策,可改善對氣候相關風險與機會的理解與分析,有助於投資人強化企業策略的韌性與資本支出決策,1
31,(113-4) 最早適用我國 IFRS 永續揭露準則的上市櫃公司，於編製哪一年度的股東會年報須揭露 IFRS 永續準則的內容？,2025 年,2026 年,2027 年,2028 年,2
32,(113-4) 「公司通過產品設計、製造和報廢管理來管理這些風險的能力，例如使用回收和可再生材料」屬於 SASB 準則當 中哪一項 ESG 議題的描述？,商業道德(Business Ethics),原料採購(Materials Sourcing & Efficiency),產品品質與安全(Product Quality & Safety),合理的行銷和廣告(Selling Practices & Product Labeling),2
33,(113-4) IFRS 永續揭露準則係強調永續資訊與什麼資訊的連結？,股東會年報,財務報表,公開說明書,永續報告書,2
34,(113-4) 根據「本國銀行氣候風險財務揭露指引」，銀行應依據下列何者採行差異化風險管理措施？,所辨識或評估之氣候風險高低或風險次序,氣候風險與其他風險之關聯性,客戶或資產組合類型,不同氣候情境分析,1
35,(113-4) 主管機關依據企業的哪種規模分階段推動「上市櫃公司永續發展路徑圖」？,按營收分階段推動,按實收資本額分階段推動,按人數規模分階段推動,按廠區數量分階段推動,2
36,(113-4) 根據「公開發行公司年報應行記載事項準則」規定，針對「溫室氣體盤查及確信情形」之揭露，應依據下列何者規 定進行？,上市櫃公司永續發展路徑圖,綠色金融行動方案 3.（113-4）0,公司治理 3.（113-4）0-永續發展藍圖,IFRS 永續揭露準則,1
37,(113-4) 為增進 ESG 基金商品資訊揭露，集保公司擬於何處建置境外 ESG 基金專區並優化投信 ESG 基金專區？,公開資訊觀測站,證交所網站,基金觀測站,集保平台,3
38,(113-4) 企業採用溫室氣體盤查或確信的衡量標準，下列何者敘述錯誤？,GHG Protocol,ISO14064-1,ISAE3410,GRI,4
39,(113-4) 「永續報告書作業辦法」規範 14 個產業應揭露具產業重大性且投資人關注之永續相關指標，企業對應之產業，係 依循何種分類標準準則？,企業自行分類,國內上市櫃公司產業類別,美國 SASB 產業分類,全球行業分類標準(GICS),2
40,(113-4) 下列何者不是「保險業氣候相關風險財務揭露指引」和「本國銀行氣候風險財務揭露指引」皆優先重視項目？,透過情境分析瞭解氣候風險相關策略,以內部控制三道防線進行風險管理,董事會及高階管理階層制定風險胃納、策略及營運計畫時，應將氣候相關風險納入考量,設置永續投資研究部門進行永續投資研究及盡職治理調查,4
41,(113-4) 針對資產管理規模未達幾億之投信業，將研議簡化揭露 ESG 內容與方式，以取代編製與發佈永續報告書？,500 億,"1,000 億","1,500 億","2,000 億",2
42,(113-4) 永續會計準則委員會(SASB)為了制定更全面、完整，且質化與量化並行的永續資訊揭露標準，結合 ESG 各面向指 標，滿足投資者的資訊需求，利於企業更全面展現長期績效與價值。為達成這一目的，SASB 準則具備某些特色， 下列哪一項不是其特色？,設計出產業特定指標,指標具備明確投資指引,指標具備一致性,指標具備可比較性,2
43,(113-4) 氣候相關財務揭露工作小組(TCFD)對於風險管理項目中，建議的揭露事項，下列何者錯誤？,描述組織在氣候相關風險的管理流程,描述氣候相關風險的鑑別、評估和管理流程如何整合在組織的整體風險管理制度,描述管理階層在評估和管理氣候相關風險與機會的角色,描述組織在氣候相關風險的鑑別和評估流程,3
44,(113-4) SASB 準則五大面向當中的領導與治理(Leadership and Governance)，下列何者是其包含的 ESG 議題？,生態衝擊(Ecological Impacts),法規和監管環境的管理(Management of the Legal & Regulatory Environment),勞工關係(Labor Practices),資訊安全(Data Security),2
45,(113-4) 下列哪一項法規／政策規定符合一定標準之上市櫃公司應依 GRI 揭露及編製永續報告書？,上市櫃公司編製與申報永續報告書作業辦法,公開發行公司年報應行記載事項準則,上市櫃公司永續發展路徑圖,我國接軌之 IFRS 永續揭露準則,1
46,(113-4) 關於溫室氣體盤查範疇，下列敘述何者正確？,其他間接溫室氣體排放，可歸類為範疇一：指來自於製程或設施之直接排放,能源間接溫室氣體排放，可歸類為範疇三：指來自於使用電力或蒸汽之能源利用所產生之間接排放,租賃、委外業務、員工通勤、商務旅行等活動屬於公司的直接溫室氣體排放,來自於製程或設施之直接排放，歸類為直接溫室氣體排放,4
47,(113-4) 國際財務報導準則永續揭露準則（IFRS 永續揭露準則）的 S1／S2 準則，皆參考哪一個永續相關框架而制定？,PCAF,TCFD,GRI,TNFD,2
48,(113-4) 依據「推動永續發展執行情形及與上市上櫃公司永續發展實務守則差異情形及原因」，下列何者產業須區分有害 廢棄物及非有害廢棄物之總重量？,製造業,金融業,生技醫療業,航運業,1
49,(113-4) 金融機構提供以房養老貸款有助於達成哪一項永續目標（或減緩哪一個風險）？,消除貧窮,缺乏居住正義,城鄉差距擴大,超高齡化,4
50,(113-4) 「為減緩對自然造成的破壞，開發新技術或設備，導致成本提升並影響獲利」是下列哪一種風險？,法規與政策風險,技術風險,市場風險,聲譽風險,2
51,(113-4) 利害關係人對企業氣候變遷行動的觀感或評價，影響其商品或服務需求及取得資金或招募員工能力是屬於哪一種 氣候轉型風險？,政策和法規風險,技術風險,市場風險,名譽風險,4
52,(113-4) 聯合國政府間氣候變遷專門委員會(IPCC)第三工作小組主要負責的工作為何？,氣候變遷的物理科學基礎分析,氣候變遷的衝擊、風險與調適分析,提供各種氣候情境設定,各項減緩措施的治理選擇與社會接受度,4
53,(113-4) 聯合國「2030 永續發展」的 17 項目標中，下列哪一項與環境風險關聯度較低？,潔淨水資源與衛生,可負擔的潔淨能源,氣候行動,消除貧窮,4
54,(113-4) 高碳排產業不包含下列哪一個行業？,電力供應業,航空運輸業,鋼鐵業,金融業,4
55,(113-4) 民眾想要查詢臺中市東勢區地區斷層與土壤液化資料，應該到哪一個單位網站查詢？,農委會,科技部,國家災害防救科技中心,經濟部水利署,3
56,(113-4) 下列何者為金融機構面對治理風險應有的作為？,與大學產學合作,增加聘用身心障礙員工,建立完善的育嬰留職停薪制度,成立「防制洗錢及打擊資恐委員會」,4
57,(113-4) 因應傳染性疾病肆虐的新興風險，金融機構可提供什麼金融商品以協助減緩或調適該風險？,微型保單,長照保險,戒菸治療外溢保單,防疫保單,4
58,(113-4) 下列何者不是氣候變遷的調適策略？,加高防波堤,購買颱風洪水保險,廢棄物防治,選擇居住在地勢較高的地區,3
59,(113-4) 「全球暖化造成海平面上升，預期未來沿海地區房價下跌」是下列哪一種風險？,立即性實體氣候風險,長期性實體氣候風險,聲譽風險,預期心理風險,2
60,(113-4) 下列何者為能源效率保險(EEI)的承保範圍？ 甲、設施損壞 乙、營業中斷 丙、資產表現,僅甲,僅甲、乙,僅甲、丙,甲、乙、丙,4
61,(113-4) 下列何者非「機構投資人盡職治理守則」的原則？,建立並揭露明確投票政策與揭露投票情形,制定並揭露利益衝突管理政策,參與被投資公司的經營權及董監事選舉,服務提供者應提供可協助機構投資人履行盡職治理責任之服務,3
62,(113-4) 公司 A 發行公司債籌資，且其籌得資金將全部用於廢棄物回收處理投資，該債券可以申請何種債券認可？,綠色債券,社會責任債券,可持續發展債券,無法申請任何債券認可,1
63,(113-4) 下列何者屬於綠色信用卡的例子？ 甲、將信用卡消費回饋部分投入於全球各地的環保計畫中 乙、結合信用卡 平台記錄民眾的環保行為換取點數作回饋 丙、運用環保材質製作信用卡,僅甲,僅甲、乙,僅甲、丙,甲、乙、丙,4
64,(113-4) 各國主管機關所發布之盡職治理守則，主要規範對象為下列何者？,上市櫃公司,一般投資人,機構投資人,理財顧問,3
65,(113-4) 目前臺灣發行的永續債券中，下列哪種發行檔數最多？,綠色債券,社會債券,可持續發展債券,可持續發展連結債券,1
66,(113-4) 有關國內公司治理評鑑的敘述，下列何者正確？,現行公司治理評鑑為使投資大眾能了解受評公司的整體表現，目前未分產業公布排名，僅以整體受評公司的方式 公布,現行公司治理評鑑為進行差異化管理，公布所有受評上市（櫃）公司七級距名單,公司治理評鑑每兩年辦理一次,現行公司治理評鑑只包括公司治理有關的指標,2
67,(113-4) 下列何者不屬於責任銀行原則(PRB)的六大框架？,一致性,衝擊與目標設定,與客戶合作,節能與減碳,4
68,(113-4) 下列何者為節能保險(ESI)的資金提供者？ 甲、HSB 工程保險公司 乙、丹麥能源署 丙、慕尼黑再保 丁、潔淨能源基金,僅甲、乙,僅乙、丁,僅甲、丁,甲、乙、丙、丁,0
69,(113-4) 持有永續相關債券的投資人能透過什麼管道獲得發行企業的永續資訊？ 甲、發行永續債券計畫書 乙、定期申 報之資金運用評估報告 丙、存續期間結束後之資金運用評估報告 丁、發行企業的財務報告書,僅甲、乙,僅乙、丙,僅甲、乙、丙,甲、乙、丙、丁,3
70,(113-4) A 保險將小公司無法承擔的汙染風險轉嫁給保險公司，同時對社會善盡企業責任。請問 A 保險最可能為哪一種綠 色保險？,環境汙染責任保險,共享經濟類型保險,氣候保險,綠色汽車保險,1
71,(113-4) 下列何者為 ESG 評比治理項目常見之指標？,商業道德,勞動力管理,低碳策略,人才吸引與留任,1
72,(113-4) 下列關於永續連結貸款專案的敘述，何者錯誤？,永續連結貸款就是綠色貸款,長期監控 ESG 指標，並將永續績效與貸款利率定價連結,永續連結貸款的資金用途不限於特定目的,若企業達成相關 ESG 績效指標即可降低融資成本,1
73,(113-4) 目前產險公會將綠色保險區分為四大類別，請問離岸風電保險屬於哪一個類別？,積極性節能減碳保險,消極性風險移轉保險,再生能源產業保險,創新服務與流程,3
74,(113-4) 低碳金融之範疇包括下列何者？ 甲、氣候變遷緩解 乙、氣候變遷調適 丙、公司治理 丁、社會,僅甲,僅甲、乙,僅甲、乙、丙,甲、乙、丙、丁,1
75,(113-4) 下列有關永續與責任投資之敘述何者正確？,僅注重社會效益,較為重視社會效益，不太在意投資利潤,僅在意投資利潤,在選定的 ESG 及永續基礎上，追求市場利潤,4
76,(113-4) 有一永續指數在其選股過程中，主要投資於從事 ESG 議題之相關產業，並根據聯合國發布的國際標準，對企業業 務或實踐進行投資的篩選，請問該指數運用了哪些投資方法？ 甲、正向選股 乙、產業別最佳 丙、永續相關主 題投資 丁、以標準為依據選股,僅甲、乙,僅乙、丙,僅丙、丁,僅甲、丁,3
77,(113-4) 下列何者非綠色債券中之綠色投資計畫？,溫室氣體減量,化石燃料發電,能源使用效率提昇及能源節約,農林資源保育,2
78,(113-4) 關於發行綠色債券，下列敘述何者正確？,所募集之資金不限其用途,所募集之資金用於綠色投資計畫之放款須達 50%以上,所募集之資金須全部用於綠色投資計畫之放款,綠色投資計畫必須可以降低碳排放量,3
79,(113-4) 有關於目前臺灣再生能源保險的操作實務，下列敘述何者錯誤？,再生能源保險將保險的價值進階為事前預防,目前已有保險公司取得全球風能組織基本安全訓練證照，提升員工對離岸風電的風險認知,再生能源保險由潔淨能源基金(Clean Energy Fund)提供資金,保險公司藉由跨領域的合作，倚賴專家的技術，分析太陽能板的抗風能力,3
80,(113-4) 下列有關盡職治理之敘述，何者錯誤？,盡職治理係指對於他人資產所負擔的照顧管理責任,盡職治理守則起源於英國所發布的「機構股東及其代理人責任—基本原則聲明」,我國目前仍未訂定盡職治理守則,投資機構可透過關注被投資公司的運營狀況、行使股東會投票權以及與被投資公司對話議合等方式以落實盡職 治理,3
1,(113-5) ESG 中的 E 是希望公司能做到以下何者?,排放溫室氣體,水汙染防治系統,破壞生物多樣性,增加能源開採,2
2,(113-5) 我國推動綠色金融行動方案 3.0，針對資金面向之具體措施內容，下列何者為非？ ,協助金融機構取得綠色相關產業融資,研議氣候風險之監控機制,辦理永續領域投融資,發行與投資綠色債券,2
3,(113-5) 《氣候變遷綱要公約》(UNFCCC)附件一締約國應制定下列哪一項政策？,應承擔為開發中國家提供資金與技術援助等責任,制定全球暖化政策,承諾國家自主貢獻(NDCs),應制定國家政策和採取相應的措施來減緩氣候變化,4
4,(113-5) 2023 年聯合國氣候變化大會(COP28)，於 2023 年 11 月 30 日至 12 月 12 日在哪一國舉行？ ,法國,杜拜,日本,西班牙,2
5,(113-5) 我國推動綠色金融行動方案 3.（113-5）0，三大核心策略包含下列哪一項？ ,協力合作深化永續發展及達成淨零目標,整合資料及數據以強化氣候韌性與因應風險之能力,揭露碳排資訊，從投融資推動整體產業減碳,以上皆是,4
6,(113-5) 上市上櫃公司永續發展實務守則的主要目的是什麼？ ,強制公司實施環保措施,凸顯我國企業重視永續發展並戮力實踐,減少公司的社會責任,鼓勵公司追求最大化短期獲利,2
7,(113-5) 藉由跨國減量之京都機制，締約國得以自其他國家執行的減量活動中，獲得較多的氣體減量配額，以達到 自身承諾的減量承諾目標，稱為下列何者？ ,國家自主貢獻(NDCs),先行作為(lead action)氣候變遷行動,承諾碳中和(Carbon neutrality)目標,"碳排放交易機制(Emission Trade, ET)",4
8,(113-5) 我國氣候變遷因應法中，穩健實施碳定價的用意是？ ,提高能源價格以減少能源消費,增加企業的成本負擔,有效降低溫室氣體排放之政策工具,限制經濟發展和產業成長,3
9,(113-5) 利害關係人理論強調企業應該追求以下哪種類型的價值創造？ ,僅追求員工和管理層的利益,長期價值的創造，綜合考慮所有利害關係人的需求,短期利益的最大化,追求股東的經濟利益,2
10,(113-5) 我國推動上市櫃公司永續發展路徑圖，主要是訂定上市櫃公司什麼時程，以達永續發展？ ,企業社會責任報告編製時程,溫室氣體盤查資訊揭露時程,財務數據揭露時程,聯合國永續發展目標執行時程,2
11,(113-5) 臺灣 2050 淨零排放路徑以四大轉型為策略，請問下列哪一個項目不在其中？ ,科技轉型,能源轉型,產業轉型,生活轉型,1
